JBG SMITH PROPERTIES,US46590V1008,"0,32"
GLP J-REIT REIT,JP3047510007,"0,32"
HEALTHCARE REALTY TRUST REIT INC,US4219461047,"0,32"
UNITE GROUP PLC,GB0006928617,"0,31"
PARK HOTELS RESORTS INC,US7005171050,"0,3"
HANG LUNG PROPERTIES LTD,HK0101000591,"0,3"
VICINITY CENTRES,AU000000VCX7,"0,3"
MERLIN PROPERTIES REIT SA,ES0105025003,"0,3"
HANDR REAL ESTATE INVESTMENT TRUST,CA4039254079,"0,29"
SINO LAND LTD,HK0083000502,"0,28"
INMOBILIARIA COLONIAL SA,ES0139140174,"0,28"
COFINIMMO REIT SA,BE0003593044,"0,28"
HULIC LTD,JP3360800001,"0,28"
CAPITALAND MALL TRUST,SG1M51904654,"0,27"
STAG INDUSTRIAL REIT INC,US85254J1025,"0,27"
SABRA HEALTH CARE REIT INC,US78573L1061,"0,27"
ADVANCE RESIDENCE INVESTMENT REIT,JP3047160001,"0,26"
TERRENO REALTY REIT CORP,US88146M1018,"0,26"
PHYSICIANS REALTY TRUST REIT,US71943U1043,"0,25"
WAREHOUSES DE PAUW REIT,BE0974349814,"0,25"
NATIONAL HEALTH INVESTORS REIT INC,US63633D1046,"0,25"
JAPAN PRIME REALTY INVESTMENT REIT,JP3040890000,"0,25"
MAPLETREE LOGISTICS TRUST UNITS,SG1S03926213,"0,23"
CAPITALAND COMMERCIAL TRUST,SG1P32918333,"0,23"
ACTIVIA PROPERTIES REIT INC,JP3047490002,"0,23"
CITY DEVELOPMENTS LTD,SG1R89002252,"0,23"
WEINGARTEN REALTY INVESTORS REIT,US9487411038,"0,23"
MAPLETREE COMMERCIAL UNITS TRUST,SG2D18969584,"0,23"
QTS REALTY REIT INC TRUST CLASS A,US74736A1034,"0,23"
AEDIFICA REIT SA,BE0003851681,"0,22"
ICADE REIT SA,FR0000035081,"0,22"
RYMAN HOSPITALITY PROPERTIES REIT,US78377T1079,"0,22"
SEKISUI HOUSE REIT INC,JP3047820000,"0,22"
SWIRE PROPERTIES LTD,HK0000063609,"0,21"
TAG IMMOBILIEN AG,DE0008303504,"0,21"
PS BUSINESS PARKS REIT INC,US69360J1079,"0,21"
TAUBMAN CENTERS REIT INC,US8766641034,"0,21"
SERVICE PROPERTIES TRUST,US81761L1026,"0,21"
CORPORATE OFFICE PROPERTIES TRUST,US22002T1088,"0,21"
AGREE REALTY REIT CORP,US0084921008,"0,21"
MAPLETREE INDUSTRIAL UNITS TRUST,SG2C32962814,"0,2"
TRITAX BIG BOX REIT PLC,GB00BG49KP99,"0,2"
ALSTRIA OFFICE REIT AG,DE000A0LD2U1,"0,2"
ALLREAL HOLDING AG,CH0008837566,"0,2"
MACERICH REIT,US5543821012,"0,2"
CA IMMOBILIEN ANLAGEN AG,AT0000641352,"0,2"
GRANITE REAL ESTATE INVESTMENT STA,CA3874371147,"0,19"
PIEDMONT OFFICE REALTY TRUST REIT,US7201902068,"0,19"
KENEDIX OFFICE INVESTMENT REIT COR,JP3046270009,"0,19"
SMARTCENTRES RL ESTATE INVESTMENT,CA83179X1087,"0,19"
TOKYO TATEMONO LTD,JP3582600007,"0,19"
AZRIELI GROUP LTD,IL0011194789,"0,19"
NIPPON ACCOMMODATIONS FUND REIT IN,JP3046440008,"0,19"
APPLE HOSPITALITY REIT INC,US03784Y2000,"0,18"
PEBBLEBROOK HOTEL TRUST REIT,US70509V1008,"0,18"
UOL GROUP LTD,SG1S83002349,"0,18"
WIHLBORGS FASTIGHETER,SE0011205194,"0,18"
GRAND CITY PROPERTIES SA,LU0775917882,"0,18"
LEXINGTON REALTY TRUST REIT,US5290431015,"0,18"
INDUSTRIAL & INFRASTRUCTURE FUND I,JP3046500009,"0,18"
JAPAN HOTEL INVESTMENT REIT CORP,JP3046400002,"0,18"
CHOICE PROPERTIES REAL ESTATE INVE,CA17039A1066,"0,17"
NOMURA REAL ESTATE HOLDINGS INC,JP3762900003,"0,17"
ENTRA,NO0010716418,"0,17"
BRANDYWINE REALTY TRUST REIT,US1053682035,"0,17"
SUNTEC UNITS TRUST,SG1Q52922370,"0,17"
SUNSTONE HOTEL INVESTORS REIT INC,US8678921011,"0,17"
MORI HILLS INVESTMENT REIT CORP,JP3046470005,"0,17"
PARAMOUNT GROUP REIT INC,US69924R1086,"0,17"
KENNEDY WILSON HOLDINGS INC,US4893981070,"0,17"
GRAINGER PLC,GB00B04V1276,"0,16"
WASHINGTON REAL ESTATE INVESTMENT,US9396531017,"0,16"
SHAFTESBURY REIT PLC,GB0007990962,"0,16"
PRIMARY HEALTH PROPERTIES REIT PLC,GB00BYRJ5J14,"0,16"
RETAIL PROPERTIES OF AMERICA REIT,US76131V2025,"0,16"
ASSURA REIT PLC,GB00BVGBWW93,"0,16"
RLJ LODGING TRUST REIT,US74965L1017,"0,15"
COLUMBIA PROPERTY REIT INC TRUST,US1982872038,"0,15"
LONDONMETRIC PROPERTY REIT PLC,GB00B4WFW713,"0,15"
BIG YELLOW GROUP PLC,GB0002869419,"0,15"
HYSAN DEVELOPMENT LTD,HK0014000126,"0,15"
JAPAN LOGISTICS FUND REIT INC,JP3046230003,"0,15"
HAMMERSON REIT PLC,GB0004065016,"0,15"
COLONY CAPITAL INC CLASS A,US19626G1085,"0,14"
BLK ICS EUR LIQ FUND AGEN ACC T0,IE00B568BM13,"0,14"
NATIONAL STORAGE AFFILIATES TRUST,US6378701063,"0,14"
SAFESTORE HOLDINGS PLC,GB00B1N7Z094,"0,14"
DAIWA OFFICE INVESTMENT REIT CORP,JP3046310003,"0,14"
HUFVUDSTADEN CLASS A,SE0000170375,"0,14"
LASALLE LOGIPORT REIT,JP3048180008,"0,14"
WORKSPACE GROUP REIT PLC,GB00B67G5X01,"0,14"
CARETRUST REIT INC,US14174T1079,"0,14"
INVINCIBLE INVESTMENT REIT CORP,JP3046190009,"0,14"
HULIC REIT INC,JP3047660000,"0,14"
AMERICAN ASSETS TRUST REIT INC,US0240131047,"0,14"
KEPPEL DC REIT,SG1AF6000009,"0,14"
FOUR CORNERS PROPERTY INC TRUST,US35086T1097,"0,14"
ACADIA REALTY TRUST REIT,US0042391096,"0,14"
AEON REIT INVESTMENT REIT CORP,JP3047650001,"0,14"
JAPAN EXCELLENT REIT INC,JP3046420000,"0,14"
MOBIMO HOLDING AG,CH0011108872,"0,13"
CHARTWELL RETIREMENT RESIDENCES RE,CA16141A1030,"0,13"
ESSENTIAL PROPERTIES REALTY TRUST,US29670E1073,"0,13"
URBAN EDGE PROPERTIES,US91704F1049,"0,13"
COMINAR REAL ESTATE INVESTMENT TRU,CA1999101001,"0,13"
KUNGSLEDEN,SE0000549412,"0,13"
LTC PROPERTIES REIT INC,US5021751020,"0,13"
NIPPON REIT INVESTMENT REIT CORP,JP3047750009,"0,13"
XENIA HOTELS RESORTS REIT INC,US9840171030,"0,13"
COMFORIA RESIDENTIAL REIT INC,JP3047540004,"0,12"
SHOPPING CENTRES AUSTRALASIA PROPE,AU000000SCP9,"0,12"
PANDOX,SE0007100359,"0,12"
DIAMONDROCK HOSPITALITY REIT,US2527843013,"0,12"
FRONTIER REAL ESTATE INVESTMENT TR,JP3046200006,"0,12"
CROMWELL PROPERTY GROUP STAPLED UN,AU000000CMW8,"0,12"
EMPIRE STATE REALTY REIT INC TRUST,US2921041065,"0,12"
SITE CENTERS CORP,US82981J1097,"0,12"
AEON MALL LTD,JP3131430005,"0,12"
INVESCO OFFICE J-REIT REIT INC,JP3047760008,"0,12"
EASTERLY GOVERNMENT PROPERTIES INC,US27616P1030,"0,12"
RETAIL OPPORTUNITY INVESTMENTS REI,US76131N1019,"0,12"
PREMIER INVESTMENT REIT CORP,JP3041770003,"0,12"
KOJAMO,FI4000312251,"0,12"
MCUBS MIDCITY INVESTMENT REIT CORP,JP3046450007,"0,11"
MORI TRUST SOGO REIT INC,JP3046170001,"0,11"
KEPPEL REIT UNITS,SG1T22929874,"0,11"
DIVERSIFIED HEALTHCARE TRUST,US25525P1075,"0,11"
MACK-CALI REALTY REIT CORP,US5544891048,"0,11"
TOKYU REIT INC,JP3044510000,"0,11"
KENEDIX RESIDENTIAL NEXT INVESTMEN,JP3047480003,"0,11"
